species,foraging,diet
amcr,ground,omnivore
amgo,foliage,granivore
amro,ground,omnivore
baor,foliage,insectivore
bhco,ground,omnivore
blja,ground,omnivore
cach,foliage,insectivore
carw,ground,insectivore
cedw,foliage,omnivore
chsp,ground,omnivore
cogr,ground,omnivore
coye,foliage,insectivore
dowo,bark,insectivore
eabl,aerial,insectivore
eaph,aerial,insectivore
eato,ground,omnivore
eawp,aerial,insectivore
ficr,ground,omnivore
grca,ground,omnivore
hawo,bark,insectivore
hofi,ground,granivore
howr,ground,insectivore
inbu,ground,omnivore
modo,ground,granivore
noca,ground,omnivore
nomo,ground,omnivore
oror,foliage,omnivore
oven,ground,insectivore
piwo,bark,insectivore
rbwo,bark,omnivore
revi,foliage,insectivore
rthu,foliage,nectarivore
rwbl,ground,omnivore
sosp,ground,omnivore
tuti,foliage,insectivore
wbnu,bark,insectivore
woth,ground,insectivore
ysfl,ground,insectivore
